date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-03-07,762.22,762.22,748.6,745.56,60180.53,-19.4,-2.53,773.508,755.894,740.252,60033.73,58959.32,46974.97,0.48
2019-03-06,775.0,779.5,768.0,765.88,46731.37,-11.78,-1.51,774.79,753.059,737.302,59394.87,55926.31,45800.77,0.37
2019-03-05,785.0,789.55,779.78,775.88,44830.56,-2.08,-0.27,769.33,748.459,732.702,63237.05,55041.41,44599.2,0.36
2019-03-04,795.0,798.33,781.86,777.22,84585.96,-7.44,-0.94,758.844,743.557,727.963,65863.87,53508.5,43874.8,0.67
2019-03-01,761.5,790.0,789.3,761.0,63840.23,34.29,4.54,750.938,739.371,722.72,65471.2,48824.49,41450.64,0.51
2019-02-28,737.9,763.42,755.01,736.95,56986.25,14.31,1.93,738.28,732.919,717.24,57884.91,44764.27,39707.95,0.45
2019-02-27,733.0,758.02,740.7,731.0,65942.27,13.35,1.83,731.328,731.134,713.114,52457.74,42291.46,38316.4,0.52
2019-02-26,747.8,749.18,727.35,726.0,57964.66,-14.98,-2.02,727.588,730.589,709.362,46845.76,39264.94,36700.53,0.46
2019-02-25,730.75,744.44,742.33,717.99,82622.59,16.32,2.25,728.27,729.646,706.545,41153.13,36977.61,35908.41,0.66
2019-02-22,717.0,728.49,726.01,714.1,25908.77,5.76,0.8,727.804,727.943,703.777,32177.79,34529.43,34129.87,0.21
2019-02-21,720.0,730.48,720.25,717.0,29850.4,-1.75,-0.24,727.558,724.609,701.657,31643.63,34990.61,36264.89,0.24
2019-02-20,735.0,735.0,722.0,716.06,37882.37,-8.76,-1.2,730.94,721.544,698.607,32125.17,35675.23,36286.61,0.3
2019-02-19,740.96,742.5,730.76,726.66,29501.5,-9.24,-1.25,733.59,716.944,695.562,31684.11,34156.99,36496.68,0.23
2019-02-18,731.0,744.95,740.0,731.0,37745.89,15.22,2.1,731.022,712.368,692.023,32802.1,34241.1,37809.84,0.3
2019-02-15,734.88,734.88,724.78,723.02,23237.98,-12.38,-1.68,728.082,706.068,686.253,36881.07,34076.8,37204.99,0.18
2019-02-14,731.2,743.66,737.16,730.14,32258.13,1.91,0.26,721.66,701.56,681.808,38337.6,34651.63,37987.3,0.26
2019-02-13,723.0,736.16,735.25,717.22,35677.06,17.33,2.41,712.148,695.094,675.889,39225.29,34341.35,37826.59,0.28
2019-02-12,723.0,725.49,717.92,715.2,35091.43,-7.38,-1.02,700.298,688.135,669.932,36629.87,34136.12,38537.35,0.28
2019-02-11,695.0,729.5,725.3,688.18,58140.75,32.63,4.71,693.714,683.443,664.276,35680.1,34839.2,38224.69,0.46
2019-02-01,697.04,699.0,692.67,689.61,30520.62,3.07,0.45,684.054,679.611,658.285,31272.52,33730.32,37055.16,0.24
2019-01-31,680.0,689.6,689.6,677.56,36696.57,13.6,2.01,681.46,678.705,653.752,30965.67,37539.17,37413.3,0.29
2019-01-30,684.99,686.22,676.0,676.0,22699.96,-9.0,-1.31,678.04,675.67,648.772,29457.41,36897.99,37127.34,0.18
2019-01-29,677.5,688.0,685.0,668.0,30342.59,8.0,1.18,675.972,674.18,644.921,31642.38,38836.36,39106.67,0.24
2019-01-28,684.0,693.98,677.0,676.03,36102.87,-2.7,-0.4,673.172,671.678,640.171,33998.3,41378.59,40773.45,0.29
2019-01-25,675.88,684.9,679.7,669.93,28986.35,7.2,1.07,675.168,666.438,634.471,36188.11,40333.19,40442.99,0.23
2019-01-24,670.3,677.83,672.5,664.68,29155.27,6.84,1.03,675.95,662.056,628.49,44112.68,41322.98,39886.98,0.23
2019-01-23,667.22,674.5,665.66,663.13,33624.81,-5.34,-0.8,673.3,656.683,623.155,44338.58,41311.84,39758.86,0.27
2019-01-22,686.0,686.0,671.0,665.22,42122.21,-15.98,-2.33,672.388,651.729,618.272,46030.34,42938.59,39033.11,0.34
2019-01-21,690.0,698.88,686.98,681.88,47051.93,3.37,0.49,670.184,645.108,613.092,48758.87,41610.18,38459.03,0.37
2019-01-18,665.0,690.2,683.61,661.5,68609.18,24.36,3.69,657.708,636.959,607.468,44478.27,40380.0,37453.48,0.55
2019-01-17,663.0,669.7,659.25,655.8,30284.76,-1.85,-0.28,648.162,628.798,602.178,38533.27,37287.43,35308.82,0.24
2019-01-16,658.0,665.65,661.1,653.6,42083.64,1.12,0.17,640.066,621.873,598.762,38285.1,37356.69,34755.69,0.34
2019-01-15,627.86,661.5,659.98,625.0,55764.85,35.38,5.66,631.07,615.661,595.233,39846.83,39376.97,33896.3,0.44
2019-01-14,633.0,635.89,624.6,621.55,25648.9,-11.28,-1.77,620.032,608.664,591.882,34461.48,40168.32,32335.78,0.2
2019-01-11,625.0,637.0,635.88,618.75,38884.21,17.11,2.77,616.21,602.504,590.74,36281.73,40552.79,33073.31,0.31
2019-01-10,617.13,624.88,618.77,610.25,29043.9,2.65,0.43,609.434,594.924,588.396,36041.58,38450.99,32125.17,0.23
2019-01-09,609.99,626.16,616.12,609.04,49892.27,11.33,1.87,603.68,589.626,586.607,36428.27,38205.88,31488.81,0.4
2019-01-08,605.5,612.0,604.79,600.28,28838.13,-0.7,-0.12,600.252,584.814,584.662,38907.11,35127.64,30226.23,0.23
2019-01-07,608.0,612.0,605.49,602.22,34750.13,3.49,0.58,597.296,581.076,583.773,45875.16,35307.87,30126.4,0.28
2019-01-04,587.28,607.67,602.0,582.02,37683.47,12.0,2.03,588.798,577.977,583.088,44823.85,34526.96,30276.8,0.3
2019-01-03,599.97,601.66,590.0,585.8,30977.35,-8.98,-1.5,580.414,575.557,583.493,40860.4,33330.21,30472.04,0.25
2019-01-02,609.98,612.0,598.98,595.01,62286.49,8.97,1.52,575.572,575.651,584.105,39983.5,32154.69,30496.86,0.5
